"","fish_identifier","c_sp_fao","sample_label","sample_owner","scientific_name","sp_category","family","tissue","sample_position","c_ocean","sampling_date","lon_dec","lat_dec","EEZ","sex","macro_matury_stage","length_cm","c_length","whole_fishweight_kg","water_content","lipid_content","isoNC_lab","d13C_pm","X_C","d15N_pm","X_N","C_N","isoNC_sample_status","THg_lab","THg_analysis_method","THg_dw_ppb","THg_ww_ppb","THg_sample_status","comment","SST","MLD","Chl.a","NPP","d20","d18","d12","O2_375m","O2_200m","O2_100m","O2_50m","OCRR_375m","OCRR_200m","OCRR_100m","OCRR_50m","OCRR_total","d13Cdic","d13Cpom","d15Nno3","d15Npom","doxycline","dmaxremin","dnethetero","export_100m","export_dnethetero","Hg0_2x2.5","Hg0_6x7.5","drydep_2x2.5","drydep_6x7.5","wetdep_2x2.5","wetdep_6x7.5","totdep_2x2.5","totdep_6x7.5","d13C_cor","sample_year","region","region.col"
"300","104672_114219_10922","YFT","ALBTAG_2_132512_A_10922","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,103,"FL",NA,NA,NA,"",-16.9,"44",9.5,"14",3.1,"bulk","GET","DMA/AMA",320,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,0.9,0.9,5.64,4.26,6.16,6.12,11.8,10.38,-16.9,2010,"WPO","seagreen"
"301","104675_114222_10925","ALB","ALBTAG_2_132513_A_10925","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,105,"FL",NA,NA,NA,"",-17.6,"44",11.9,"12.8",3.4,"bulk","GET","DMA/AMA",3195,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-17.6,2010,"WPO","seagreen"
"302","104677_114224_10927","ALB","ALBTAG_2_132514_A_10927","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,87,"FL",NA,NA,NA,"",-17.3,"45",11.1,"14",3.2,"bulk","GET","DMA/AMA",822,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-17.3,2010,"WPO","seagreen"
"303","104737_114291_11003","YFT","SMB  _09-03_8_A_114291","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","12.11.2009",178.1,-20.9,"FJ","M",999,128,"FL",NA,NA,NA,"",-16.5,"45",10.3,"13.9",3.2,"bulk","GET","DMA/AMA",1261,NA,"bulk","",25.35142857,42.25285714,0.104651429,0.160414286,237.7428571,286.2714286,444.3142857,195.0428571,194.3857143,212.4571429,210.1571429,0.915328571,4.280428571,48.43142857,12.20028571,56.40571429,2.459857143,-18.86857143,10.07171429,4.361571429,127.0142857,96.99142857,121.0714286,22.56571429,14.24714286,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-16.5,2009,"WPO","seagreen"
"304","104743_114297_11009","YFT","SMB  _09-03_14_A_11009","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","13.11.2009",178.1,-20.8,"FJ","F",999,123,"FL",NA,NA,NA,"",-16.4,"42",13.1,"13.1",3.2,"bulk","GET","DMA/AMA",1049,NA,"bulk","",25.35142857,42.25285714,0.104651429,0.160414286,237.7428571,286.2714286,444.3142857,195.0428571,194.3857143,212.4571429,210.1571429,0.915328571,4.280428571,48.43142857,12.20028571,56.40571429,2.459857143,-18.86857143,10.07171429,4.361571429,127.0142857,96.99142857,121.0714286,22.56571429,14.24714286,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-16.4,2009,"WPO","seagreen"
"305","104744_114298_11010","YFT","SMB  _09-03_15_A_11010","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","13.11.2009",178.1,-20.8,"FJ","M",999,126,"FL",NA,NA,NA,"",-16,"42",15.6,"13",3.2,"bulk","GET","DMA/AMA",310,NA,"bulk","",25.35142857,42.25285714,0.104651429,0.160414286,237.7428571,286.2714286,444.3142857,195.0428571,194.3857143,212.4571429,210.1571429,0.915328571,4.280428571,48.43142857,12.20028571,56.40571429,2.459857143,-18.86857143,10.07171429,4.361571429,127.0142857,96.99142857,121.0714286,22.56571429,14.24714286,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-16,2009,"WPO","seagreen"
"306","104747_114301_11013","BET","SMB  _09-03_18_A_11013","CPS/Allain","Thunnus obesus","fish","Scombridae","white muscle","A","PO","13.11.2009",178.1,-20.8,"FJ","M",999,130,"FL",NA,NA,NA,"",-17,"43",12,"13",3.3,"bulk","GET","DMA/AMA",3248,NA,"bulk","",25.35142857,42.25285714,0.104651429,0.160414286,237.7428571,286.2714286,444.3142857,195.0428571,194.3857143,212.4571429,210.1571429,0.915328571,4.280428571,48.43142857,12.20028571,56.40571429,2.459857143,-18.86857143,10.07171429,4.361571429,127.0142857,96.99142857,121.0714286,22.56571429,14.24714286,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-17,2009,"WPO","seagreen"
"307","104758_114312_11024","YFT","SMB  _09-03_29_A_11024","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","14.11.2009",177.9,-20.2,"FJ","unknown",999,153,"FL",NA,NA,NA,"",-15.7,"42",11.5,"13.1",3.2,"bulk","GET","DMA/AMA",3039,NA,"bulk","",25.35142857,42.25285714,0.104651429,0.160414286,237.7428571,286.2714286,444.3142857,195.0428571,194.3857143,212.4571429,210.1571429,0.915328571,4.280428571,48.43142857,12.20028571,56.40571429,2.459857143,-18.86857143,10.07171429,4.361571429,127.0142857,96.99142857,121.0714286,22.56571429,14.24714286,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-15.7,2009,"WPO","seagreen"
"308","104759_114313_11025","BET","SMB  _09-03_30_A_11025","CPS/Allain","Thunnus obesus","fish","Scombridae","white muscle","A","PO","14.11.2009",177.9,-20.2,"FJ","M",999,99,"FL",NA,NA,NA,"",-18.9,"49",10.3,"9.7",5.1,"bulk","GET","DMA/AMA",1676,NA,"bulk","",25.35142857,42.25285714,0.104651429,0.160414286,237.7428571,286.2714286,444.3142857,195.0428571,194.3857143,212.4571429,210.1571429,0.915328571,4.280428571,48.43142857,12.20028571,56.40571429,2.459857143,-18.86857143,10.07171429,4.361571429,127.0142857,96.99142857,121.0714286,22.56571429,14.24714286,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-15.9587319607843,2009,"WPO","seagreen"
"309","104760_114314_11026","YFT","SMB  _09-03_31_A_11026","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","15.11.2009",177.8,-20.1,"FJ","M",999,155,"FL",NA,NA,NA,"",-16,"41",13.3,"12.7",3.2,"bulk","GET","DMA/AMA",1486,NA,"bulk","",25.35142857,42.25285714,0.104651429,0.160414286,237.7428571,286.2714286,444.3142857,195.0428571,194.3857143,212.4571429,210.1571429,0.915328571,4.280428571,48.43142857,12.20028571,56.40571429,2.459857143,-18.86857143,10.07171429,4.361571429,127.0142857,96.99142857,121.0714286,22.56571429,14.24714286,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-16,2009,"WPO","seagreen"
