fish_identifier,SST,MLD,Chl.a,NPP,d20,d18,d12,O2_375m,O2_200m,O2_100m,O2_50m,OCRR_375m,OCRR_200m,OCRR_100m,OCRR_50m,OCRR_total,d13Cdic,d13Cpom,d15Nno3,d15Npom,doxycline,dmaxremin,dnethetero,export_100m,export_dnethetero,Hg0_2x2.5,Hg0_6x7.5,drydep_2x2.5,drydep_6x7.5,wetdep_2x2.5,wetdep_6x7.5,totdep_2x2.5,totdep_6x7.5,d13C_cor,sample_year,region,region.col
107764_118200_19348,27.38571429,30.01857143,0.060731429,0.120885714,229.1285714,269.2428571,394.4285714,184.2857143,191.1285714,210.2857143,203.7857143,654,3.435857143,30.09285714,6.526428571,43.21857143,2.490857143,-19.21857143,8192,4.686571429,140.2714286,109.1142857,134.0285714,13.74142857,10.38571429,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.9,2013,WPO,seagreen
107765_118201_19349,27.38571429,30.01857143,0.060731429,0.120885714,229.1285714,269.2428571,394.4285714,184.2857143,191.1285714,210.2857143,203.7857143,654,3.435857143,30.09285714,6.526428571,43.21857143,2.490857143,-19.21857143,8192,4.686571429,140.2714286,109.1142857,134.0285714,13.74142857,10.38571429,NA,NA,NA,NA,NA,NA,NA,NA,-17.1,2013,WPO,seagreen
107766_118202_19350,27.38571429,30.01857143,0.060731429,0.120885714,229.1285714,269.2428571,394.4285714,184.2857143,191.1285714,210.2857143,203.7857143,654,3.435857143,30.09285714,6.526428571,43.21857143,2.490857143,-19.21857143,8192,4.686571429,140.2714286,109.1142857,134.0285714,13.74142857,10.38571429,NA,NA,NA,NA,NA,NA,NA,NA,-17.7,2013,WPO,seagreen
107771_118207_,26.48714286,30.14857143,0.068057143,0.130928571,235.3,282.1714286,435.4857143,196.2571429,196.6714286,212.2857143,209.3714286,0.866571429,4.420714286,30.56857143,6.935285714,47.22142857,2.447571429,-19.16857143,8.503857143,4.084428571,140.2714286,109.1142857,136.0571429,15.25285714,11.91,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-18.61,2013,WPO,seagreen
107772_118208_,26.48714286,30.14857143,0.068057143,0.130928571,235.3,282.1714286,435.4857143,196.2571429,196.6714286,212.2857143,209.3714286,0.866571429,4.420714286,30.56857143,6.935285714,47.22142857,2.447571429,-19.16857143,8.503857143,4.084428571,140.2714286,109.1142857,136.0571429,15.25285714,11.91,NA,NA,NA,NA,NA,NA,NA,NA,-18.13,2013,WPO,seagreen
107773_118209_,26.48714286,30.14857143,0.068057143,0.130928571,235.3,282.1714286,435.4857143,196.2571429,196.6714286,212.2857143,209.3714286,0.866571429,4.420714286,30.56857143,6.935285714,47.22142857,2.447571429,-19.16857143,8.503857143,4.084428571,140.2714286,109.1142857,136.0571429,15.25285714,11.91,0.91,0.91,5.67,5.8,7.33,7.26,13,13.06,-17.14,2013,WPO,seagreen
107774_118210_,26.48714286,30.14857143,0.068057143,0.130928571,235.3,282.1714286,435.4857143,196.2571429,196.6714286,212.2857143,209.3714286,0.866571429,4.420714286,30.56857143,6.935285714,47.22142857,2.447571429,-19.16857143,8.503857143,4.084428571,140.2714286,109.1142857,136.0571429,15.25285714,11.91,NA,NA,NA,NA,NA,NA,NA,NA,-16.64,2013,WPO,seagreen
107775_118211_19359,26.48714286,30.14857143,0.068057143,0.130928571,235.3,282.1714286,435.4857143,196.2571429,196.6714286,212.2857143,209.3714286,0.866571429,4.420714286,30.56857143,6.935285714,47.22142857,2.447571429,-19.16857143,8.503857143,4.084428571,140.2714286,109.1142857,136.0571429,15.25285714,11.91,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-18.5,2013,WPO,seagreen
107776_118212_,26.48714286,30.14857143,0.068057143,0.130928571,235.3,282.1714286,435.4857143,196.2571429,196.6714286,212.2857143,209.3714286,0.866571429,4.420714286,30.56857143,6.935285714,47.22142857,2.447571429,-19.16857143,8.503857143,4.084428571,140.2714286,109.1142857,136.0571429,15.25285714,11.91,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-17.6743614084507,2013,WPO,seagreen
107777_118213_,26.48714286,30.14857143,0.068057143,0.130928571,235.3,282.1714286,435.4857143,196.2571429,196.6714286,212.2857143,209.3714286,0.866571429,4.420714286,30.56857143,6.935285714,47.22142857,2.447571429,-19.16857143,8.503857143,4.084428571,140.2714286,109.1142857,136.0571429,15.25285714,11.91,0.91,0.91,5.59,5.98,7.21,7.08,12.8,13.06,-18.07,2013,WPO,seagreen
